Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4,Gejala_5,Gejala_6,Gejala_7,Gejala_8,Gejala_9,Gejala_10,Gejala_11,Gejala_12,Gejala_13,Gejala_14,Gejala_15,Gejala_16,Gejala_17
Infeksi jamur,gatal, ruam_kulit, erupsi_kulit_nodul,bercak_diskromik,,,,,,,,,,,,,
Infeksi jamur, ruam_kulit, erupsi_kulit_nodul,bercak_diskromik,,,,,,,,,,,,,,
Infeksi jamur,gatal, erupsi_kulit_nodul,bercak_diskromik,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam_kulit,bercak_diskromik,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam_kulit, erupsi_kulit_nodul,,,,,,,,,,,,,,
Infeksi jamur, ruam_kulit, erupsi_kulit_nodul,bercak_diskromik,,,,,,,,,,,,,,
Infeksi jamur,gatal, erupsi_kulit_nodul,bercak_diskromik,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam_kulit,bercak_diskromik,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam_kulit, erupsi_kulit_nodul,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam_kulit, erupsi_kulit_nodul,bercak_diskromik,,,,,,,,,,,,,
Alergi, bersin_terus_menerus, menggigil, kedinginan, mata_berair,,,,,,,,,,,,,
Alergi, menggigil, kedinginan, mata_berair,,,,,,,,,,,,,,
Alergi, bersin_terus_menerus, kedinginan, mata_berair,,,,,,,,,,,,,,
Alergi, bersin_terus_menerus, menggigil, mata_berair,,,,,,,,,,,,,,
Alergi, bersin_terus_menerus, menggigil, kedinginan,,,,,,,,,,,,,,
Alergi, menggigil, kedinginan, mata_berair,,,,,,,,,,,,,,
Alergi, bersin_terus_menerus, kedinginan, mata_berair,,,,,,,,,,,,,,
Alergi, bersin_terus_menerus, menggigil, mata_berair,,,,,,,,,,,,,,
Alergi, bersin_terus_menerus, menggigil, kedinginan,,,,,,,,,,,,,,
Alergi, bersin_terus_menerus, menggigil, kedinginan, mata_berair,,,,,,,,,,,,,
GERD, sakit_perut, asam_lambung, bisul_di_lidah, muntah, batuk, nyeri_dada,,,,,,,,,,,
GERD, sakit_perut, bisul_di_lidah, muntah, batuk, nyeri_dada,,,,,,,,,,,,
GERD, sakit_perut, asam_lambung, muntah, batuk, nyeri_dada,,,,,,,,,,,,
GERD, sakit_perut, asam_lambung, bisul_di_lidah, batuk, nyeri_dada,,,,,,,,,,,,
GERD, sakit_perut, asam_lambung, bisul_di_lidah, muntah, nyeri_dada,,,,,,,,,,,,
GERD, sakit_perut, asam_lambung, bisul_di_lidah, muntah, batuk,,,,,,,,,,,,
GERD, asam_lambung, bisul_di_lidah, muntah, batuk, nyeri_dada,,,,,,,,,,,,
GERD, sakit_perut, bisul_di_lidah, muntah, batuk, nyeri_dada,,,,,,,,,,,,
GERD, sakit_perut, asam_lambung, muntah, batuk, nyeri_dada,,,,,,,,,,,,
GERD, sakit_perut, asam_lambung, bisul_di_lidah, batuk, nyeri_dada,,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan_nafsu_makan, nyeri_perut, menguningnya_mata,,,,,,,,,,
Kolestasis kronis, muntah, kulit_kekuningan, mual, kehilangan_nafsu_makan, nyeri_perut, menguningnya_mata,,,,,,,,,,,
Kolestasis kronis,gatal, kulit_kekuningan, mual, kehilangan_nafsu_makan, nyeri_perut, menguningnya_mata,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, mual, kehilangan_nafsu_makan, nyeri_perut, menguningnya_mata,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, kehilangan_nafsu_makan, nyeri_perut, menguningnya_mata,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, nyeri_perut, menguningnya_mata,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan_nafsu_makan, menguningnya_mata,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan_nafsu_makan, nyeri_perut,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan_nafsu_makan, nyeri_perut, menguningnya_mata,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan_nafsu_makan, nyeri_perut, menguningnya_mata,,,,,,,,,,
Reaksi obat,gatal, ruam_kulit, sakit_perut, nyeri_saat_buang_air_kecil,bercak_saat_buang_air_kecil,,,,,,,,,,,,
Reaksi obat,gatal, sakit_perut, nyeri_saat_buang_air_kecil,bercak_saat_buang_air_kecil,,,,,,,,,,,,,
Reaksi obat,gatal, ruam_kulit, nyeri_saat_buang_air_kecil,bercak_saat_buang_air_kecil,,,,,,,,,,,,,
Reaksi obat,gatal, ruam_kulit, sakit_perut,bercak_saat_buang_air_kecil,,,,,,,,,,,,,
Reaksi obat,gatal, ruam_kulit, sakit_perut, nyeri_saat_buang_air_kecil,,,,,,,,,,,,,
Reaksi obat, ruam_kulit, sakit_perut, nyeri_saat_buang_air_kecil,bercak_saat_buang_air_kecil,,,,,,,,,,,,,
Reaksi obat,gatal, sakit_perut, nyeri_saat_buang_air_kecil,bercak_saat_buang_air_kecil,,,,,,,,,,,,,
Reaksi obat,gatal, ruam_kulit, nyeri_saat_buang_air_kecil,bercak_saat_buang_air_kecil,,,,,,,,,,,,,
Reaksi obat,gatal, ruam_kulit, sakit_perut,bercak_saat_buang_air_kecil,,,,,,,,,,,,,
Reaksi obat,gatal, ruam_kulit, sakit_perut, nyeri_saat_buang_air_kecil,,,,,,,,,,,,,
Penyakit tukak lambung ulcer diseae, muntah, kehilangan_nafsu_makan, nyeri_perut, keluarnya_gas,gatal_dalam,,,,,,,,,,,,
Penyakit tukak lambung ulcer diseae, muntah, gangguan_pencernaan, nyeri_perut, keluarnya_gas,gatal_dalam,,,,,,,,,,,,
Penyakit tukak lambung ulcer diseae, gangguan_pencernaan, kehilangan_nafsu_makan, nyeri_perut, keluarnya_gas,gatal_dalam,,,,,,,,,,,,
Penyakit tukak lambung ulcer diseae, muntah, kehilangan_nafsu_makan, nyeri_perut, keluarnya_gas,gatal_dalam,,,,,,,,,,,,
Penyakit tukak lambung ulcer diseae, muntah, gangguan_pencernaan, nyeri_perut, keluarnya_gas,gatal_dalam,,,,,,,,,,,,
Penyakit tukak lambung ulcer diseae, muntah, gangguan_pencernaan, kehilangan_nafsu_makan, keluarnya_gas,gatal_dalam,,,,,,,,,,,,
Penyakit tukak lambung ulcer diseae, muntah, gangguan_pencernaan, kehilangan_nafsu_makan, nyeri_perut,gatal_dalam,,,,,,,,,,,,
Penyakit tukak lambung ulcer diseae, muntah, gangguan_pencernaan, kehilangan_nafsu_makan, nyeri_perut, keluarnya_gas,,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan_pencernaan, kehilangan_nafsu_makan, nyeri_perut, keluarnya_gas,gatal_dalam,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan_pencernaan, kehilangan_nafsu_makan, nyeri_perut, keluarnya_gas,gatal_dalam,,,,,,,,,,,
AIDS, otot_menyusut, bercak_di_tenggorokan, demam_tinggi, hubungan_di_luar_nikah,,,,,,,,,,,,,
AIDS, bercak_di_tenggorokan, demam_tinggi, hubungan_di_luar_nikah,,,,,,,,,,,,,,
AIDS, otot_menyusut, demam_tinggi, hubungan_di_luar_nikah,,,,,,,,,,,,,,
AIDS, otot_menyusut, bercak_di_tenggorokan, hubungan_di_luar_nikah,,,,,,,,,,,,,,
AIDS, otot_menyusut, bercak_di_tenggorokan, demam_tinggi,,,,,,,,,,,,,,
AIDS, otot_menyusut, bercak_di_tenggorokan, demam_tinggi, hubungan_di_luar_nikah,,,,,,,,,,,,,
AIDS, otot_menyusut, bercak_di_tenggorokan, demam_tinggi, hubungan_di_luar_nikah,,,,,,,,,,,,,
AIDS, bercak_di_tenggorokan, demam_tinggi, hubungan_di_luar_nikah,,,,,,,,,,,,,,
AIDS, otot_menyusut, demam_tinggi, hubungan_di_luar_nikah,,,,,,,,,,,,,,
